uniqueid,year,state,mun,section,incumbent_party_magar,incumbent_candidate_magar,incumbent_vote,party_component,mutually_exclusive,researched_incumbent,source_researched_incumbent,incumbent_party_JL,incumbent_candidate_JL,incumbent_party_Horacio,incumbent_party_inafed,incumbent_candidate_inafed,state_incumbent_party,state_incumbent_vote,state_incumbent_vote_party_component,PRI_vote,PRI_vote_party_component,PRD_vote,PRD_vote_party_component,PAN_vote,PAN_vote_party_component,MORENA_vote,MORENA_vote_party_component,runnerup_party_magar,runnerup_candidate_magar,runnerup_vote,runnerup_party_component,margin,listanominal,valid,total,PAN,PRI,PRD,PartCardenista,PT,PVEM,PPS,PD,PT_PC_PAS_PSN,PDS,PCD,PARM,DSPPN,PC,PSN,PAS,FUERZACIUDADANA,MEXICOPOSIBLE,PLM,nulos,PRD_PT_PC,PANAL,PRI_PANAL,PSD,PRI_PVEM,PT_PC,MC,MORENA,PH,PES,PAN_MC,PRI_PVEM_PANAL,PLC,CI_1,CI_2
4010,1997,CAMPECHE,Calakmul,425,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,50,PRI,50,PRI,104,PRD,1,PAN,NA,NA,NA,NA,NA,NA,NA,228,161,161,1,50,104,2,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,426,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,205,PRI,205,PRI,160,PRD,4,PAN,NA,NA,NA,NA,NA,NA,NA,747,376,376,4,205,160,1,4,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4010,1997,CAMPECHE,Calakmul,427,NA,NA,NA,NA,TRUE,NA,NA,CM,JUAN GONZALEZ CHAN,NA,CM,C. JUAN GONZALEZ CHAN,PRI,137,PRI,137,PRI,15,PRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,152,152,0,137,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,147,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,341,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,341,PRI,341,PRI,142,PRD,24,PAN,NA,NA,PRD,NA,142,PRD,0.6048472734,796,541,541,24,341,142,2,29,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,148,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,224,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,224,PRI,224,PRI,147,PRD,35,PAN,NA,NA,PRD,NA,147,PRD,0.6048472734,735,447,447,35,224,147,0,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,149,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,289,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,289,PRI,289,PRI,233,PRD,36,PAN,NA,NA,PRD,NA,233,PRD,0.6048472734,797,603,603,36,289,233,1,39,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,150,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,282,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,282,PRI,282,PRI,175,PRD,7,PAN,NA,NA,PRD,NA,175,PRD,0.6048472734,689,506,506,7,282,175,0,41,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,151,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,251,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,251,PRI,251,PRI,146,PRD,16,PAN,NA,NA,PRD,NA,146,PRD,0.6048472734,608,460,460,16,251,146,0,41,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,152,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,367,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,367,PRI,367,PRI,144,PRD,8,PAN,NA,NA,PRD,NA,144,PRD,0.6048472734,803,599,599,8,367,144,1,78,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,153,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,363,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,363,PRI,363,PRI,172,PRD,12,PAN,NA,NA,PRD,NA,172,PRD,0.6048472734,785,590,590,12,363,172,0,42,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,154,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,311,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,311,PRI,311,PRI,227,PRD,16,PAN,NA,NA,PRD,NA,227,PRD,0.6048472734,934,659,659,16,311,227,1,98,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,155,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,319,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,319,PRI,319,PRI,264,PRD,6,PAN,NA,NA,PRD,NA,264,PRD,0.6048472734,922,672,672,6,319,264,1,77,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,156,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,149,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,149,PRI,149,PRI,113,PRD,7,PAN,NA,NA,PRD,NA,113,PRD,0.6048472734,457,331,331,7,149,113,1,61,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,157,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,204,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,204,PRI,204,PRI,57,PRD,1,PAN,NA,NA,PRD,NA,57,PRD,0.6048472734,390,292,292,1,204,57,0,27,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,158,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,267,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,267,PRI,267,PRI,127,PRD,NA,NA,NA,NA,PRD,NA,127,PRD,0.6048472734,521,417,417,0,267,127,0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,159,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,225,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,225,PRI,225,PRI,126,PRD,NA,NA,NA,NA,PRD,NA,126,PRD,0.6048472734,580,401,401,0,225,126,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,160,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,168,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,168,PRI,168,PRI,160,PRD,2,PAN,NA,NA,PRD,NA,160,PRD,0.6048472734,635,393,393,2,168,160,2,59,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,161,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,225,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,225,PRI,225,PRI,198,PRD,2,PAN,NA,NA,PRD,NA,198,PRD,0.6048472734,669,458,458,2,225,198,4,28,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,162,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,218,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,218,PRI,218,PRI,102,PRD,1,PAN,NA,NA,PRD,NA,102,PRD,0.6048472734,544,417,417,1,218,102,0,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,163,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,176,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,176,PRI,176,PRI,106,PRD,1,PAN,NA,NA,PRD,NA,106,PRD,0.6048472734,538,406,406,1,176,106,3,118,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,164,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,235,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,235,PRI,235,PRI,176,PRD,NA,NA,NA,NA,PRD,NA,176,PRD,0.6048472734,643,485,485,0,235,176,0,71,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,165,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,105,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,105,PRI,105,PRI,7,PRD,NA,NA,NA,NA,PRD,NA,7,PRD,0.6048472734,146,136,136,0,105,7,0,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,166,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,657,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,657,PRI,657,PRI,145,PRD,2,PAN,NA,NA,PRD,NA,145,PRD,0.6048472734,1248,1019,1019,2,657,145,1,214,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,167,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,321,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,321,PRI,321,PRI,121,PRD,NA,NA,NA,NA,PRD,NA,121,PRD,0.6048472734,758,565,565,0,321,121,0,123,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,168,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,340,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,340,PRI,340,PRI,100,PRD,2,PAN,NA,NA,PRD,NA,100,PRD,0.6048472734,752,614,614,2,340,100,0,172,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,169,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,422,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,422,PRI,422,PRI,191,PRD,5,PAN,NA,NA,PRD,NA,191,PRD,0.6048472734,903,673,673,5,422,191,0,54,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,170,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,276,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,276,PRI,276,PRI,177,PRD,7,PAN,NA,NA,PRD,NA,177,PRD,0.6048472734,554,463,463,7,276,177,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4001,1997,CAMPECHE,Calkiní,171,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,194,PRI,TRUE,NA,NA,PRI,MIGUEL HUMBERTO RODRIGUEZ SUAREZ,NA,PRI,PROFR. MIGUEL HUMBERTO RODRIGUEZ SUAREZ,PRI,194,PRI,194,PRI,85,PRD,NA,NA,NA,NA,PRD,NA,85,PRD,0.6048472734,386,302,302,0,194,85,0,19,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
